time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-05-25 09:30:00-04:00,SentimentTrader,73459b1515d449f38a72ff8f6030b675,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2021-05-25 09:30:00-04:00,SentimentTrader,78f103249c874865a9030680b539a999,MSFT,buy,market,fill,1,gtc,0.0,1,stock,251.77000427246094,104.0,0.0
2021-06-03 09:30:00-04:00,SentimentTrader,73459b1515d449f38a72ff8f6030b675,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,245.22000122070312,104.0,0.0
2021-06-11 09:30:00-04:00,SentimentTrader,f513a32e93004788a4bb598e9b321cca,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2021-06-11 09:30:00-04:00,SentimentTrader,dc09971140bc4b9e9ffd8aad83625b18,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2021-06-11 09:30:00-04:00,SentimentTrader,f513a32e93004788a4bb598e9b321cca,MSFT,buy,market,fill,1,gtc,0.0,1,stock,257.989990234375,101.0,0.0
2021-07-19 08:30:00-04:00,SentimentTrader,dc09971140bc4b9e9ffd8aad83625b18,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,275.57700592041016,101.0,0.0
2021-07-23 09:30:00-04:00,SentimentTrader,9ef3b9861860485388de6f38026b3c3b,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-23 09:30:00-04:00,SentimentTrader,3451ba2651974ded91ac03481c6d06c8,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2021-07-23 09:30:00-04:00,SentimentTrader,9ef3b9861860485388de6f38026b3c3b,MSFT,buy,market,fill,1,gtc,0.0,1,stock,287.3699951171875,92.0,0.0
2021-09-10 09:30:00-04:00,SentimentTrader,3451ba2651974ded91ac03481c6d06c8,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,296.6647964477539,92.0,0.0
